,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
336097,336098,Job,1,4,יֹומֹ֑ו ,יֹום,H3117,2304
336098,336099,Job,1,4,וְ,וְ,H9000,50272
336099,336100,Job,1,4,שָׁלְח֗וּ ,שׁלח,H7971,847
336100,336101,Job,1,4,וְ,וְ,H9000,50272
336101,336102,Job,1,4,קָרְאוּ֙ ,קרא,H7121,732
336102,336103,Job,1,4,לִ,לְ,H9005,20069
336103,336104,Job,1,4,שְׁלֹ֣שֶׁת ,שָׁלֹשׁ,H7969,602
336104,336105,Job,1,4,<QR>אַחְיֹֽותֵיהֶ֔ם <qr>,אָחֹות,H269,114
336105,336106,Job,1,4,לֶ,לְ,H9005,20069
336106,336107,Job,1,4,אֱכֹ֥ל ,אכל,H398,810
336107,336108,Job,1,4,וְ,וְ,H9000,50272
336108,336109,Job,1,4,לִ,לְ,H9005,20069
336109,336110,Job,1,4,שְׁתֹּ֖ות ,שׁתה,H8354,217
336110,336111,Job,1,4,עִמָּהֶֽם׃ ,עִם,H5973,1049
336111,336112,Job,1,5,וַ,וְ,H9000,50272
336112,336113,Job,1,5,יְהִ֡י ,היה,H1961,3561
336113,336114,Job,1,5,כִּ֣י ,כִּי,H3588,4483
336114,336115,Job,1,5,הִקִּיפֽוּ֩ ,נקף,H5362,17
336115,336116,Job,1,5,יְמֵ֨י ,יֹום,H3117,2304
336116,336117,Job,1,5,הַ,הַ,H9009,30386
336117,336118,Job,1,5,מִּשְׁתֶּ֜ה ,מִשְׁתֶּה,H4960,46
336118,336119,Job,1,5,וַ,וְ,H9000,50272
336119,336120,Job,1,5,יִּשְׁלַ֧ח ,שׁלח,H7971,847
336120,336121,Job,1,5,אִיֹּ֣וב ,אִיֹּוב,H347,58
336121,336122,Job,1,5,וַֽ,וְ,H9000,50272
336122,336123,Job,1,5,יְקַדְּשֵׁ֗ם ,קדשׁ,H6942,171
336123,336124,Job,1,5,וְ,וְ,H9000,50272
336124,336125,Job,1,5,הִשְׁכִּ֣ים ,שׁכם,H7925,65
336125,336126,Job,1,5,בַּ,בְּ,H9003,15542
336126,336127,Job,1,5,,הַ,H9009,30386
336127,336128,Job,1,5,בֹּקֶר֮ ,בֹּקֶר,H1242,214
336128,336129,Job,1,5,וְ,וְ,H9000,50272
336129,336130,Job,1,5,הֶעֱלָ֣ה ,עלה,H5927,890
336130,336131,Job,1,5,עֹלֹות֮ ,עֹלָה,H5930,286
336131,336132,Job,1,5,מִסְפַּ֣ר ,מִסְפָּר,H4557,134
