strong,chapter
G4052,burnet_15
G4061,burnet_16
G4074,burnet_3
G4091,burnet_10
G4095,burnet_11
G4098,burnet_11
G4100,burnet_3
G4102,burnet_13
G4103,burnet_5
G4105,burnet_19
G4119,burnet_12
G4128,burnet_13
G4130,burnet_19
G4133,burnet_10
G4137,burnet_19
G4143,burnet_3
G4145,burnet_18
G4151,burnet_12
G4152,burnet_18
G4159,burnet_10
G4160,burnet_2
G4166,burnet_20
G4169,burnet_9
G4172,burnet_13
G4183,burnet_5
G4190,burnet_5
G4202,burnet_16
G4214,burnet_9
G4218,burnet_6
G4221,burnet_9
G4226,burnet_4
G4228,burnet_12
G4238,burnet_14
G4245,burnet_14
G4253,burnet_4
G4263,burnet_7
G4314,burnet_4
G4334,burnet_8
G4335,burnet_16
G4336,burnet_8
G4337,burnet_6
G4341,burnet_8
G4352,burnet_4
G4374,burnet_11
G4383,burnet_3
G4395,burnet_14
G4396,burnet_8
G4413,burnet_16
G4442,burnet_12
G4459,burnet_4
G4461,burnet_1
G4487,burnet_12
G4506,burnet_8
G4521,burnet_3
G4561,burnet_12
G4567,burnet_8
G4572,burnet_9
G4592,burnet_3
G4594,burnet_6
G4613,burnet_12
G4624,burnet_14
G4632,burnet_13
G4655,burnet_13
G4674,burnet_9
G4678,burnet_17
G4687,burnet_11
G4690,burnet_14
G4716,burnet_18
G4717,burnet_19
G4750,burnet_12
G4757,burnet_8
G4771,burnet_9
G4862,burnet_4
G4863,burnet_4
G4864,burnet_5
G4893,burnet_13
G4905,burnet_8
G4920,burnet_19
G4982,burnet_6
G4983,burnet_12
G4990,burnet_12
G4991,burnet_17
G5037,burnet_9
G5043,burnet_3
G5048,burnet_19
G5055,burnet_15
G5056,burnet_13
G5064,burnet_16
G5083,burnet_2
G5087,burnet_19
G5091,burnet_19
G5092,burnet_17
G5095,burnet_6
G5100,burnet_12
G5101,burnet_12
G5108,burnet_9
G5117,burnet_6
G5119,burnet_6
G5140,burnet_16
G5154,burnet_16
G5185,burnet_5
G5204,burnet_12
G5207,burnet_2
G5217,burnet_4
G5225,burnet_6
G5228,burnet_4
G5257,burnet_8
G5259,burnet_4
G5281,burnet_16
G5290,burnet_15
G5293,burnet_14
G5316,burnet_15
G5319,burnet_19
G5330,burnet_7
G5342,burnet_11
G5343,burnet_11
G5346,burnet_19
G5368,burnet_2
G5376,burnet_15
G5384,burnet_18
G5399,burnet_15
G5401,burnet_15
G5426,burnet_15
G5438,burnet_17
G5442,burnet_14
G5443,burnet_16
G5455,burnet_14
G5456,burnet_3
G5457,burnet_12
G5463,burnet_11
G5479,burnet_7
G5483,burnet_14
G5485,burnet_12
G5495,burnet_12
G5501,burnet_20
G5503,burnet_16
G5507,burnet_16
G5532,burnet_17
G5547,burnet_2
G5550,burnet_15
G5560,burnet_5
G5561,burnet_16
G5565,burnet_10
G5590,burnet_3
G5602,burnet_10
G5610,burnet_3
G5613,burnet_5
G5618,burnet_12
G5620,burnet_18
G6000,burnet_11
H0001,pegon_15
H0006,pegon_35
H0014,pegon_35
H0026,pegon_32
H0040,pegon_15
H0053,pegon_23
H0056,pegon_32
H0068,pegon_6
H0072,pegon_45
H0074,pegon_17
H0085,pegon_7
H0117,pegon_6
H0120,pegon_20
H0121,pegon_11
H0123,pegon_11
H0127,pegon_11
H0134,pegon_39
H0136,pegon_21
H0138,pegon_35
H0157,pegon_24
H0168,pegon_19
H0175,pegon_14
H0176,pegon_27
H0194,pegon_42
H0215,pegon_38
H0216,pegon_23
