w,book,chapter,verse,orig,lex,strong,freq
55,Genèse,1,6,רָקִ֖יעַ,רָקִיעַ,H7549,17.0
56,Genèse,1,6,בְּת֣וֹךְ,תָּ֫וֶךְ,H8432,418.0
57,Genèse,1,6,הַמָּ֑יִם,מַי,H4325,581.0
58,Genèse,1,6,וִיהִ֣י,הָיָה,H1961,3562.0
59,Genèse,1,6,מַבְדִּ֔יל,בָּדַל,H0914,42.0
60,Genèse,1,6,בֵּ֥ין,בַּ֫יִן,H0996,407.0
61,Genèse,1,6,מַ֖יִם,מַי,H4325,581.0
62,Genèse,1,6,לָמָֽיִם׃,מַי,H4325,581.0
63,Genèse,1,7,וַיַּ֣עַשׂ,עָשָׂה,H6213,2629.0
64,Genèse,1,7,אֱלֹהִים֮,אֱלֹהִים,H0430,2603.0
65,Genèse,1,7,אֶת־,אֵת,H0853,10946.0
66,Genèse,1,7,הָרָקִיעַ֒,רָקִיעַ,H7549,17.0
67,Genèse,1,7,וַיַּבְדֵּ֗ל,בָּדַל,H0914,42.0
68,Genèse,1,7,בֵּ֤ין,בַּ֫יִן,H0996,407.0
69,Genèse,1,7,הַמַּ֙יִם֙,מַי,H4325,581.0
70,Genèse,1,7,אֲשֶׁר֙,אֲשֶׁר,H0834,5499.0
71,Genèse,1,7,מִתַּ֣חַת,תַּחַת,H8478,505.0
72,Genèse,1,7,לָרָקִ֔יעַ,רָקִיעַ,H7549,17.0
73,Genèse,1,7,וּבֵ֣ין,בַּ֫יִן,H0996,407.0
74,Genèse,1,7,הַמַּ֔יִם,מַי,H4325,581.0
75,Genèse,1,7,אֲשֶׁ֖ר,אֲשֶׁר,H0834,5499.0
76,Genèse,1,7,מֵעַ֣ל,עַל,H5921,5774.0
77,Genèse,1,7,לָרָקִ֑יעַ,רָקִיעַ,H7549,17.0
78,Genèse,1,7,וַֽיְהִי־,הָיָה,H1961,3562.0
79,Genèse,1,7,כֵֽן׃,כֵּן,H3651,765.0
80,Genèse,1,8,וַיִּקְרָ֧א,קָרָא,H7121,733.0
81,Genèse,1,8,אֱלֹהִ֛ים,אֱלֹהִים,H0430,2603.0
82,Genèse,1,8,לָֽרָקִ֖יעַ,רָקִיעַ,H7549,17.0
83,Genèse,1,8,שָׁמָ֑יִם,שָׁמַיִם,H8064,421.0
84,Genèse,1,8,וַֽיְהִי־,הָיָה,H1961,3562.0
85,Genèse,1,8,עֶ֥רֶב,עֶ֫רֶב,H6153,134.0
86,Genèse,1,8,וַֽיְהִי־,הָיָה,H1961,3562.0
87,Genèse,1,8,בֹ֖קֶר,בֹּ֫קֶר,H1242,214.0
88,Genèse,1,8,י֥וֹם,יוֹם,H3117,2306.0
89,Genèse,1,8,שֵׁנִֽי׃ פ,שֵׁנִי,H8145,156.0
90,Genèse,1,9,וַיֹּ֣אמֶר,אָמַר,H0559,5309.0
91,Genèse,1,9,אֱלֹהִ֗ים,אֱלֹהִים,H0430,2603.0
92,Genèse,1,9,יִקָּו֨וּ,קָוָה,H6960,49.0
93,Genèse,1,9,הַמַּ֜יִם,מַי,H4325,581.0
94,Genèse,1,9,מִתַּ֤חַת,תַּחַת,H8478,505.0
95,Genèse,1,9,הַשָּׁמַ֙יִם֙,שָׁמַיִם,H8064,421.0
96,Genèse,1,9,אֶל־,אֶל,H0413,5515.0
97,Genèse,1,9,מָק֣וֹם,מָקוֹם,H4725,401.0
98,Genèse,1,9,אֶחָ֔ד,אֶחָד,H0259,971.0
99,Genèse,1,9,וְתֵרָאֶ֖ה,רָאָה,H7200,1300.0
100,Genèse,1,9,הַיַּבָּשָׁ֑ה,יַבָּשָׁה,H3004,14.0
101,Genèse,1,9,וַֽיְהִי־,הָיָה,H1961,3562.0
102,Genèse,1,9,כֵֽן׃,כֵּן,H3651,765.0
103,Genèse,1,10,וַיִּקְרָ֨א,קָרָא,H7121,733.0
104,Genèse,1,10,אֱלֹהִ֤ים׀,אֱלֹהִים,H0430,2603.0
105,Genèse,1,10,לַיַּבָּשָׁה֙,יַבָּשָׁה,H3004,14.0
106,Genèse,1,10,אֶ֔רֶץ,אֶ֫רֶץ,H0776,2504.0
107,Genèse,1,10,וּלְמִקְוֵ֥ה,מִקְוֶה,H4723,12.0
108,Genèse,1,10,הַמַּ֖יִם,מַי,H4325,581.0
109,Genèse,1,10,קָרָ֣א,קָרָא,H7121,733.0
110,Genèse,1,10,יַמִּ֑ים,יָם,H3220,396.0
111,Genèse,1,10,וַיַּ֥רְא,רָאָה,H7200,1300.0
112,Genèse,1,10,אֱלֹהִ֖ים,אֱלֹהִים,H0430,2603.0
