tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
111217,Colossiens,1,3,πατρὶ,πατήρ,G3962,414
111218,Colossiens,1,3,τοῦ,ὁ,G3588,19785
111219,Colossiens,1,3,κυρίου,κύριος,G2962,716
111220,Colossiens,1,3,ἡμῶν,ἐγώ,G1473,2462
111221,Colossiens,1,3,Ἰησοῦ,Ἰησοῦς,G2424,910
111222,Colossiens,1,3,Χριστοῦ,Χριστός,G5547,529
111223,Colossiens,1,3,πάντοτε,πάντοτε,G3842,41
111224,Colossiens,1,3,περὶ,περί,G4012,331
111225,Colossiens,1,3,ὑμῶν,σύ,G4771,2896
111226,Colossiens,1,3,προσευχόμενοι,προσεύχομαι,G4336,86
111227,Colossiens,1,4,ἀκούσαντες,ἀκούω,G0191,426
111228,Colossiens,1,4,τὴν,ὁ,G3588,19785
111229,Colossiens,1,4,πίστιν,πίστις,G4102,242
111230,Colossiens,1,4,ὑμῶν,σύ,G4771,2896
111231,Colossiens,1,4,ἐν,ἐν,G1722,2728
111232,Colossiens,1,4,Χριστῷ,Χριστός,G5547,529
111233,Colossiens,1,4,Ἰησοῦ,Ἰησοῦς,G2424,910
111234,Colossiens,1,4,καὶ,καί,G2532,9108
111235,Colossiens,1,4,τὴν,ὁ,G3588,19785
111236,Colossiens,1,4,ἀγάπην,ἀγάπη,G0026,116
111237,Colossiens,1,4,ἣν,ὅς,G3739,1408
111238,Colossiens,1,4,ἔχετε,ἔχω,G2192,706
111239,Colossiens,1,4,εἰς,εἰς,G1519,1757
111240,Colossiens,1,4,πάντας,πᾶς,G3956,1236
111241,Colossiens,1,4,τοὺς,ὁ,G3588,19785
111242,Colossiens,1,4,ἁγίους,ἅγιος,G0040,224
111243,Colossiens,1,5,διὰ,διά,G1223,666
111244,Colossiens,1,5,τὴν,ὁ,G3588,19785
111245,Colossiens,1,5,ἐλπίδα,ἐλπίς,G1680,53
111246,Colossiens,1,5,τὴν,ὁ,G3588,19785
111247,Colossiens,1,5,ἀποκειμένην,ἀπόκειμαι,G0606,4
111248,Colossiens,1,5,ὑμῖν,σύ,G4771,2896
111249,Colossiens,1,5,ἐν,ἐν,G1722,2728
111250,Colossiens,1,5,τοῖς,ὁ,G3588,19785
111251,Colossiens,1,5,οὐρανοῖς,οὐρανός,G3772,273
111252,Colossiens,1,5,ἣν,ὅς,G3739,1408
111253,Colossiens,1,5,προηκούσατε,προακούω,G4257,1
111254,Colossiens,1,5,ἐν,ἐν,G1722,2728
111255,Colossiens,1,5,τῷ,ὁ,G3588,19785
111256,Colossiens,1,5,λόγῳ,λόγος,G3056,330
111257,Colossiens,1,5,τῆς,ὁ,G3588,19785
111258,Colossiens,1,5,ἀληθείας,ἀλήθεια,G0225,108
111259,Colossiens,1,5,τοῦ,ὁ,G3588,19785
111260,Colossiens,1,5,εὐαγγελίου,εὐαγγέλιον,G2098,76
111261,Colossiens,1,6,τοῦ,ὁ,G3588,19785
111262,Colossiens,1,6,παρόντος,πάρειμι,G3918,25
111263,Colossiens,1,6,εἰς,εἰς,G1519,1757
111264,Colossiens,1,6,ὑμᾶς,σύ,G4771,2896
111265,Colossiens,1,6,καθὼς,καθώς,G2531,182
111266,Colossiens,1,6,καὶ,καί,G2532,9108
111267,Colossiens,1,6,ἐν,ἐν,G1722,2728
111268,Colossiens,1,6,παντὶ,πᾶς,G3956,1236
111269,Colossiens,1,6,τῷ,ὁ,G3588,19785
