tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
67019,Actes,1,3,τὸ,ὁ,G3588,19785
67020,Actes,1,3,παθεῖν,πάσχω,G3958,41
67021,Actes,1,3,αὐτὸν,αὐτός,G0846,5558
67022,Actes,1,3,ἐν,ἐν,G1722,2728
67023,Actes,1,3,πολλοῖς,πολύς,G4183,365
67024,Actes,1,3,τεκμηρίοις,τεκμήριον,G5039,1
67025,Actes,1,3,δι᾽,διά,G1223,666
67026,Actes,1,3,ἡμερῶν,ἡμέρα,G2250,388
67027,Actes,1,3,τεσσεράκοντα,τεσσαράκοντα,G5062,22
67028,Actes,1,3,ὀπτανόμενος,ὀπτάνομαι,G3700,1
67029,Actes,1,3,αὐτοῖς,αὐτός,G0846,5558
67030,Actes,1,3,καὶ,καί,G2532,9108
67031,Actes,1,3,λέγων,λέγω,G3004,1318
67032,Actes,1,3,τὰ,ὁ,G3588,19785
67033,Actes,1,3,περὶ,περί,G4012,331
67034,Actes,1,3,τῆς,ὁ,G3588,19785
67035,Actes,1,3,βασιλείας,βασιλεία,G0932,161
67036,Actes,1,3,τοῦ,ὁ,G3588,19785
67037,Actes,1,3,θεοῦ,θεός,G2316,1311
67038,Actes,1,4,καὶ,καί,G2532,9108
67039,Actes,1,4,συναλιζόμενος,συναλίζω,G4871,1
67040,Actes,1,4,παρήγγειλεν,παραγγέλλω,G3853,31
67041,Actes,1,4,αὐτοῖς,αὐτός,G0846,5558
67042,Actes,1,4,ἀπὸ,ἀπό,G0575,640
67043,Actes,1,4,Ἱεροσολύμων,Ἱεροσόλυμα,G2414,62
67044,Actes,1,4,μὴ,μή,G3361,1065
67045,Actes,1,4,χωρίζεσθαι,χωρίζω,G5563,13
67046,Actes,1,4,ἀλλὰ,ἀλλά,G0235,638
67047,Actes,1,4,περιμένειν,περιμένω,G4037,1
67048,Actes,1,4,τὴν,ὁ,G3588,19785
67049,Actes,1,4,ἐπαγγελίαν,ἐπαγγελία,G1860,52
67050,Actes,1,4,τοῦ,ὁ,G3588,19785
67051,Actes,1,4,πατρὸς,πατήρ,G3962,414
67052,Actes,1,4,ἣν,ὅς,G3739,1408
67053,Actes,1,4,ἠκούσατέ,ἀκούω,G0191,426
67054,Actes,1,4,μου,ἐγώ,G1473,2462
67055,Actes,1,5,ὅτι,ὅτι,G3754,1291
67056,Actes,1,5,Ἰωάννης,Ἰωάννης,G2491,135
67057,Actes,1,5,μὲν,μέν,G3303,178
67058,Actes,1,5,ἐβάπτισεν,βαπτίζω,G0907,76
67059,Actes,1,5,ὕδατι,ὕδωρ,G5204,76
67060,Actes,1,5,ὑμεῖς,σύ,G4771,2896
67061,Actes,1,5,δὲ,δέ,G1161,2771
67062,Actes,1,5,ἐν,ἐν,G1722,2728
67063,Actes,1,5,πνεύματι,πνεῦμα,G4151,378
67064,Actes,1,5,βαπτισθήσεσθε,βαπτίζω,G0907,76
67065,Actes,1,5,ἁγίῳ,ἅγιος,G0040,224
67066,Actes,1,5,οὐ,οὐ,G3756,1667
67067,Actes,1,5,μετὰ,μετά,G3326,468
67068,Actes,1,5,πολλὰς,πολύς,G4183,365
67069,Actes,1,5,ταύτας,οὗτος,G3778,1380
67070,Actes,1,5,ἡμέρας,ἡμέρα,G2250,388
67071,Actes,1,6,Οἱ,ὁ,G3588,19785
67072,Actes,1,6,μὲν,μέν,G3303,178
67073,Actes,1,6,οὖν,οὖν,G3767,494
