tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
125990,1Pierre,1,3,ἐκ,ἐκ,G1537,912
125991,1Pierre,1,3,νεκρῶν,νεκρός,G3498,128
125992,1Pierre,1,4,εἰς,εἰς,G1519,1757
125993,1Pierre,1,4,κληρονομίαν,κληρονομία,G2817,14
125994,1Pierre,1,4,ἄφθαρτον,ἄφθαρτος,G0862,7
125995,1Pierre,1,4,καὶ,καί,G2532,9108
125996,1Pierre,1,4,ἀμίαντον,ἀμίαντος,G0283,4
125997,1Pierre,1,4,καὶ,καί,G2532,9108
125998,1Pierre,1,4,ἀμάραντον,ἀμάραντος,G0263,1
125999,1Pierre,1,4,τετηρημένην,τηρέω,G5083,70
126000,1Pierre,1,4,ἐν,ἐν,G1722,2728
126001,1Pierre,1,4,οὐρανοῖς,οὐρανός,G3772,273
126002,1Pierre,1,4,εἰς,εἰς,G1519,1757
126003,1Pierre,1,4,ὑμᾶς,σύ,G4771,2896
126004,1Pierre,1,5,τοὺς,ὁ,G3588,19785
126005,1Pierre,1,5,ἐν,ἐν,G1722,2728
126006,1Pierre,1,5,δυνάμει,δύναμις,G1411,119
126007,1Pierre,1,5,θεοῦ,θεός,G2316,1311
126008,1Pierre,1,5,φρουρουμένους,φρουρέω,G5432,4
126009,1Pierre,1,5,διὰ,διά,G1223,666
126010,1Pierre,1,5,πίστεως,πίστις,G4102,242
126011,1Pierre,1,5,εἰς,εἰς,G1519,1757
126012,1Pierre,1,5,σωτηρίαν,σωτηρία,G4991,47
126013,1Pierre,1,5,ἑτοίμην,ἕτοιμος,G2092,17
126014,1Pierre,1,5,ἀποκαλυφθῆναι,ἀποκαλύπτω,G0601,26
126015,1Pierre,1,5,ἐν,ἐν,G1722,2728
126016,1Pierre,1,5,καιρῷ,καιρός,G2540,85
126017,1Pierre,1,5,ἐσχάτῳ,ἔσχατος,G2078,52
126018,1Pierre,1,6,ἐν,ἐν,G1722,2728
126019,1Pierre,1,6,ᾧ,ὅς,G3739,1408
126020,1Pierre,1,6,ἀγαλλιᾶσθε,ἀγαλλιάω,G0021,11
126021,1Pierre,1,6,ὀλίγον,ὀλίγος,G3641,40
126022,1Pierre,1,6,ἄρτι,ἄρτι,G0737,36
126023,1Pierre,1,6,εἰ,εἰ,G1487,506
126024,1Pierre,1,6,δέον,δεῖ,G1163,102
126025,1Pierre,1,6,ἐστίν,εἰμί,G1510,2458
126026,1Pierre,1,6,λυπηθέντες,λυπέω,G3076,26
126027,1Pierre,1,6,ἐν,ἐν,G1722,2728
126028,1Pierre,1,6,ποικίλοις,ποικίλος,G4164,10
126029,1Pierre,1,6,πειρασμοῖς,πειρασμός,G3986,21
126030,1Pierre,1,7,ἵνα,ἵνα,G2443,668
126031,1Pierre,1,7,τὸ,ὁ,G3588,19785
126032,1Pierre,1,7,δοκίμιον,δοκίμιον,G1383,2
126033,1Pierre,1,7,ὑμῶν,σύ,G4771,2896
126034,1Pierre,1,7,τῆς,ὁ,G3588,19785
126035,1Pierre,1,7,πίστεως,πίστις,G4102,242
126036,1Pierre,1,7,πολυτιμότερον,πολύτιμος,G4186,3
126037,1Pierre,1,7,χρυσίου,χρυσίον,G5553,11
126038,1Pierre,1,7,τοῦ,ὁ,G3588,19785
126039,1Pierre,1,7,ἀπολλυμένου,ἀπολλύω,G0622,90
126040,1Pierre,1,7,διὰ,διά,G1223,666
126041,1Pierre,1,7,πυρὸς,πῦρ,G4442,71
126042,1Pierre,1,7,δὲ,δέ,G1161,2771
126043,1Pierre,1,7,δοκιμαζομένου,δοκιμάζω,G1381,22
126044,1Pierre,1,7,εὑρεθῆ,εὑρίσκω,G2147,176
126045,1Pierre,1,7,εἰς,εἰς,G1519,1757
126046,1Pierre,1,7,ἔπαινον,ἔπαινος,G1868,11
126047,1Pierre,1,7,καὶ,καί,G2532,9108
126049,1Pierre,1,7,δόξαν,δόξα,G1391,166
126050,1Pierre,1,7,καὶ,καί,G2532,9108
126051,1Pierre,1,7,τιμὴν,τιμή,G5092,41
126052,1Pierre,1,7,ἐν,ἐν,G1722,2728
126053,1Pierre,1,7,ἀποκαλύψει,ἀποκάλυψις,G0602,18
126054,1Pierre,1,7,Ἰησοῦ,Ἰησοῦς,G2424,910
126055,1Pierre,1,7,Χριστοῦ,Χριστός,G5547,529
126056,1Pierre,1,8,ὃν,ὅς,G3739,1408
126057,1Pierre,1,8,οὐκ,οὐ,G3756,1667
126058,1Pierre,1,8,ἰδόντες,εἴδω,G1492,374
126059,1Pierre,1,8,ἀγαπᾶτε,ἀγαπάω,G0025,143
126060,1Pierre,1,8,εἰς,εἰς,G1519,1757
126061,1Pierre,1,8,ὃν,ὅς,G3739,1408
126062,1Pierre,1,8,ἄρτι,ἄρτι,G0737,36
126063,1Pierre,1,8,μὴ,μή,G3361,1065
126064,1Pierre,1,8,ὁρῶντες,ὁράω,G3708,113
