,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
124802,129062,1 Jean,2,5,τηρῆ,τηρέω,G5083,70
124803,129063,1 Jean,2,5,αὐτοῦ,αὐτός,G0846,5558
124804,129064,1 Jean,2,5,τὸν,ὁ,G3588,19785
124805,129065,1 Jean,2,5,λόγον,λόγος,G3056,330
124806,129066,1 Jean,2,5,ἀληθῶς,ἀληθῶς,G0230,18
124807,129067,1 Jean,2,5,ἐν,ἐν,G1722,2728
124808,129068,1 Jean,2,5,τούτῳ,οὗτος,G3778,1380
124809,129069,1 Jean,2,5,ἡ,ὁ,G3588,19785
124810,129070,1 Jean,2,5,ἀγάπη,ἀγάπη,G0026,116
124811,129071,1 Jean,2,5,τοῦ,ὁ,G3588,19785
124812,129072,1 Jean,2,5,θεοῦ,θεός,G2316,1311
124813,129073,1 Jean,2,5,τετελείωται,τελειόω,G5048,23
124814,129074,1 Jean,2,5,ἐν,ἐν,G1722,2728
124815,129075,1 Jean,2,5,τούτῳ,οὗτος,G3778,1380
124816,129076,1 Jean,2,5,γινώσκομεν,γινώσκω,G1097,218
124817,129077,1 Jean,2,5,ὅτι,ὅτι,G3754,1291
124818,129078,1 Jean,2,5,ἐν,ἐν,G1722,2728
124819,129079,1 Jean,2,5,αὐτῷ,αὐτός,G0846,5558
124820,129080,1 Jean,2,5,ἐσμεν,εἰμί,G1510,2458
124821,129081,1 Jean,2,6,ὁ,ὁ,G3588,19785
124822,129082,1 Jean,2,6,λέγων,λέγω,G3004,1318
124823,129083,1 Jean,2,6,ἐν,ἐν,G1722,2728
124824,129084,1 Jean,2,6,αὐτῷ,αὐτός,G0846,5558
124825,129085,1 Jean,2,6,μένειν,μένω,G3306,118
124826,129086,1 Jean,2,6,ὀφείλει,ὀφείλω,G3784,35
124827,129087,1 Jean,2,6,καθὼς,καθώς,G2531,182
124828,129088,1 Jean,2,6,ἐκεῖνος,ἐκεῖνος,G1565,243
124829,129089,1 Jean,2,6,περιεπάτησεν,περιπατέω,G4043,95
124830,129090,1 Jean,2,6,καὶ,καί,G2532,9108
124831,129091,1 Jean,2,6,αὐτὸς,αὐτός,G0846,5558
124832,129092,1 Jean,2,6,οὕτως,οὕτω,G3779,207
124833,129093,1 Jean,2,6,περιπατεῖν,περιπατέω,G4043,95
124834,129094,1 Jean,2,7,Ἀγαπητοί,ἀγαπητός,G0027,61
124835,129095,1 Jean,2,7,οὐκ,οὐ,G3756,1667
124836,129096,1 Jean,2,7,ἐντολὴν,ἐντολή,G1785,68
124837,129097,1 Jean,2,7,καινὴν,καινός,G2537,41
124838,129098,1 Jean,2,7,γράφω,γράφω,G1125,190
124839,129099,1 Jean,2,7,ὑμῖν,σύ,G4771,2896
124840,129100,1 Jean,2,7,ἀλλ᾽,ἀλλά,G0235,638
124841,129101,1 Jean,2,7,ἐντολὴν,ἐντολή,G1785,68
124842,129102,1 Jean,2,7,παλαιὰν,παλαιός,G3820,19
124843,129103,1 Jean,2,7,ἣν,ὅς,G3739,1408
124844,129104,1 Jean,2,7,εἴχετε,ἔχω,G2192,706
124845,129105,1 Jean,2,7,ἀπ᾽,ἀπό,G0575,640
124846,129106,1 Jean,2,7,ἀρχῆς,ἀρχή,G0746,55
124847,129107,1 Jean,2,7,ἡ,ὁ,G3588,19785
124848,129108,1 Jean,2,7,ἐντολὴ,ἐντολή,G1785,68
124849,129109,1 Jean,2,7,ἡ,ὁ,G3588,19785
124850,129110,1 Jean,2,7,παλαιά,παλαιός,G3820,19
124851,129111,1 Jean,2,7,ἐστιν,εἰμί,G1510,2458
124852,129112,1 Jean,2,7,ὁ,ὁ,G3588,19785
124853,129113,1 Jean,2,7,λόγος,λόγος,G3056,330
124854,129114,1 Jean,2,7,ὃν,ὅς,G3739,1408
124855,129115,1 Jean,2,7,ἠκούσατε,ἀκούω,G0191,426
124856,129118,1 Jean,2,8,πάλιν,πάλιν,G3825,138
124857,129119,1 Jean,2,8,ἐντολὴν,ἐντολή,G1785,68
124858,129120,1 Jean,2,8,καινὴν,καινός,G2537,41
124859,129121,1 Jean,2,8,γράφω,γράφω,G1125,190
124860,129122,1 Jean,2,8,ὑμῖν,σύ,G4771,2896
124861,129123,1 Jean,2,8,ὅ,ὅς,G3739,1408
124862,129124,1 Jean,2,8,ἐστιν,εἰμί,G1510,2458
124863,129125,1 Jean,2,8,ἀληθὲς,ἀληθής,G0227,26
124864,129126,1 Jean,2,8,ἐν,ἐν,G1722,2728
124865,129127,1 Jean,2,8,αὐτῷ,αὐτός,G0846,5558
124866,129128,1 Jean,2,8,καὶ,καί,G2532,9108
124867,129129,1 Jean,2,8,ἐν,ἐν,G1722,2728
124868,129130,1 Jean,2,8,ὑμῖν,σύ,G4771,2896
124869,129131,1 Jean,2,8,ὅτι,ὅτι,G3754,1291
124870,129132,1 Jean,2,8,ἡ,ὁ,G3588,19785
124871,129133,1 Jean,2,8,σκοτία,σκοτία,G4653,16
124872,129134,1 Jean,2,8,παράγεται,παράγω,G3855,10
124873,129135,1 Jean,2,8,καὶ,καί,G2532,9108
124874,129136,1 Jean,2,8,τὸ,ὁ,G3588,19785
124875,129137,1 Jean,2,8,φῶς,φῶς,G5457,73
124876,129138,1 Jean,2,8,τὸ,ὁ,G3588,19785
124877,129139,1 Jean,2,8,ἀληθινὸν,ἀληθινός,G0228,28
124878,129140,1 Jean,2,8,ἤδη,ἤδη,G2235,61
124879,129141,1 Jean,2,8,φαίνει,φαίνω,G5316,31
124880,129142,1 Jean,2,9,ὁ,ὁ,G3588,19785
124881,129143,1 Jean,2,9,λέγων,λέγω,G3004,1318
124882,129144,1 Jean,2,9,ἐν,ἐν,G1722,2728
124883,129145,1 Jean,2,9,τῷ,ὁ,G3588,19785
124884,129146,1 Jean,2,9,φωτὶ,φῶς,G5457,73
124885,129147,1 Jean,2,9,εἶναι,εἰμί,G1510,2458
124886,129148,1 Jean,2,9,καὶ,καί,G2532,9108
124887,129149,1 Jean,2,9,τὸν,ὁ,G3588,19785
124888,129150,1 Jean,2,9,ἀδελφὸν,ἀδελφός,G0080,343
124889,129151,1 Jean,2,9,αὐτοῦ,αὐτός,G0846,5558
124890,129152,1 Jean,2,9,μισῶν,μισέω,G3404,40
124891,129153,1 Jean,2,9,ἐν,ἐν,G1722,2728
124892,129154,1 Jean,2,9,τῆ,ὁ,G3588,19785
124893,129155,1 Jean,2,9,σκοτίᾳ,σκοτία,G4653,16
124894,129156,1 Jean,2,9,ἐστὶν,εἰμί,G1510,2458
124895,129157,1 Jean,2,9,ἕως,ἕως,G2193,145
124896,129158,1 Jean,2,9,ἄρτι,ἄρτι,G0737,36
124897,129159,1 Jean,2,10,ὁ,ὁ,G3588,19785
124898,129160,1 Jean,2,10,ἀγαπῶν,ἀγαπάω,G0025,143
124899,129161,1 Jean,2,10,τὸν,ὁ,G3588,19785
124900,129162,1 Jean,2,10,ἀδελφὸν,ἀδελφός,G0080,343
124901,129163,1 Jean,2,10,αὐτοῦ,αὐτός,G0846,5558
124902,129164,1 Jean,2,10,ἐν,ἐν,G1722,2728
124903,129165,1 Jean,2,10,τῷ,ὁ,G3588,19785
124904,129166,1 Jean,2,10,φωτὶ,φῶς,G5457,73
124905,129167,1 Jean,2,10,μένει,μένω,G3306,118
124906,129168,1 Jean,2,10,καὶ,καί,G2532,9108
124907,129169,1 Jean,2,10,σκάνδαλον,σκάνδαλον,G4625,15
124908,129170,1 Jean,2,10,ἐν,ἐν,G1722,2728
124909,129171,1 Jean,2,10,αὐτῷ,αὐτός,G0846,5558
124910,129172,1 Jean,2,10,οὐκ,οὐ,G3756,1667
124911,129173,1 Jean,2,10,ἔστιν,εἰμί,G1510,2458
124912,129174,1 Jean,2,11,ὁ,ὁ,G3588,19785
124913,129175,1 Jean,2,11,δὲ,δέ,G1161,2771
