tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
60983,Jean,12,35,τὸ,ὁ,G3588,19785
60984,Jean,12,35,φῶς,φῶς,G5457,73
60985,Jean,12,35,ἔχετε,ἔχω,G2192,706
60986,Jean,12,35,ἵνα,ἵνα,G2443,668
60987,Jean,12,35,μὴ,μή,G3361,1065
60988,Jean,12,35,σκοτία,σκοτία,G4653,16
60989,Jean,12,35,ὑμᾶς,σύ,G4771,2896
60990,Jean,12,35,καταλάβῃ,καταλαμβάνω,G2638,13
60991,Jean,12,35,καὶ,καί,G2532,9108
60992,Jean,12,35,ὁ,ὁ,G3588,19785
60993,Jean,12,35,περιπατῶν,περιπατέω,G4043,95
60994,Jean,12,35,ἐν,ἐν,G1722,2728
60995,Jean,12,35,τῆ,ὁ,G3588,19785
60996,Jean,12,35,σκοτίᾳ,σκοτία,G4653,16
60997,Jean,12,35,οὐκ,οὐ,G3756,1667
60998,Jean,12,35,οἶδεν,εἴδω,G6063,280
60999,Jean,12,35,ποῦ,ποῦ,G4226,47
61000,Jean,12,35,ὑπάγει,ὑπάγω,G5217,78
61001,Jean,12,36,ὡς,ὡς,G5613,501
61002,Jean,12,36,τὸ,ὁ,G3588,19785
61003,Jean,12,36,φῶς,φῶς,G5457,73
61004,Jean,12,36,ἔχετε,ἔχω,G2192,706
61005,Jean,12,36,πιστεύετε,πιστεύω,G4100,238
61006,Jean,12,36,εἰς,εἰς,G1519,1757
61007,Jean,12,36,τὸ,ὁ,G3588,19785
61008,Jean,12,36,φῶς,φῶς,G5457,73
61009,Jean,12,36,ἵνα,ἵνα,G2443,668
61010,Jean,12,36,υἱοὶ,υἱός,G5207,372
61011,Jean,12,36,φωτὸς,φῶς,G5457,73
61012,Jean,12,36,γένησθε,γίνομαι,G1096,662
61013,Jean,12,36,ταῦτα,οὗτος,G3778,1380
61014,Jean,12,36,ἐλάλησεν,λαλέω,G2980,296
61016,Jean,12,36,Ἰησοῦς,Ἰησοῦς,G2424,910
61017,Jean,12,36,καὶ,καί,G2532,9108
61018,Jean,12,36,ἀπελθὼν,ἀπέρχομαι,G0565,117
61019,Jean,12,36,ἐκρύβη,κρύπτω,G2928,18
61020,Jean,12,36,ἀπ᾽,ἀπό,G0575,640
61021,Jean,12,36,αὐτῶν,αὐτός,G0846,5558
61022,Jean,12,37,Τοσαῦτα,τοσοῦτος,G5118,19
61023,Jean,12,37,δὲ,δέ,G1161,2771
61024,Jean,12,37,αὐτοῦ,αὐτός,G0846,5558
61025,Jean,12,37,σημεῖα,σημεῖον,G4592,77
61026,Jean,12,37,πεποιηκότος,ποιέω,G4160,568
61027,Jean,12,37,ἔμπροσθεν,ἔμπροσθεν,G1715,48
61028,Jean,12,37,αὐτῶν,αὐτός,G0846,5558
61029,Jean,12,37,οὐκ,οὐ,G3756,1667
61030,Jean,12,37,ἐπίστευον,πιστεύω,G4100,238
61031,Jean,12,37,εἰς,εἰς,G1519,1757
61032,Jean,12,37,αὐτόν,αὐτός,G0846,5558
61033,Jean,12,38,ἵνα,ἵνα,G2443,668
61034,Jean,12,38,ὁ,ὁ,G3588,19785
61035,Jean,12,38,λόγος,λόγος,G3056,330
61036,Jean,12,38,Ἠσαΐου,Ἡσαΐας,G2268,22
61037,Jean,12,38,τοῦ,ὁ,G3588,19785
61038,Jean,12,38,προφήτου,προφήτης,G4396,144
61039,Jean,12,38,πληρωθῆ,πληρόω,G4137,85
61040,Jean,12,38,ὃν,ὅς,G3739,1408
61041,Jean,12,38,εἶπεν,ἔπω,G2036,929
61042,Jean,12,38,κύριε,κύριος,G2962,716
61043,Jean,12,38,τίς,τίς,G5101,558
61044,Jean,12,38,ἐπίστευσεν,πιστεύω,G4100,238
61045,Jean,12,38,τῆ,ὁ,G3588,19785
61046,Jean,12,38,ἀκοῆ,ἀκοή,G0189,24
61047,Jean,12,38,ἡμῶν,ἐγώ,G1473,2462
61048,Jean,12,38,καὶ,καί,G2532,9108
61049,Jean,12,38,ὁ,ὁ,G3588,19785
61050,Jean,12,38,βραχίων,βραχίων,G1023,3
61051,Jean,12,38,κυρίου,κύριος,G2962,716
61052,Jean,12,38,τίνι,τίς,G5101,558
61053,Jean,12,38,ἀπεκαλύφθη,ἀποκαλύπτω,G0601,26
