tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
112900,1Thessaloniciens,1,5,ἐγενήθη,γίνομαι,G1096,662
112901,1Thessaloniciens,1,5,εἰς,εἰς,G1519,1757
112902,1Thessaloniciens,1,5,ὑμᾶς,σύ,G4771,2896
112903,1Thessaloniciens,1,5,ἐν,ἐν,G1722,2728
112904,1Thessaloniciens,1,5,λόγῳ,λόγος,G3056,330
112905,1Thessaloniciens,1,5,μόνον,μόνος,G3441,111
112906,1Thessaloniciens,1,5,ἀλλὰ,ἀλλά,G0235,638
112907,1Thessaloniciens,1,5,καὶ,καί,G2532,9108
112908,1Thessaloniciens,1,5,ἐν,ἐν,G1722,2728
112909,1Thessaloniciens,1,5,δυνάμει,δύναμις,G1411,119
112910,1Thessaloniciens,1,5,καὶ,καί,G2532,9108
112911,1Thessaloniciens,1,5,ἐν,ἐν,G1722,2728
112912,1Thessaloniciens,1,5,πνεύματι,πνεῦμα,G4151,378
112913,1Thessaloniciens,1,5,ἁγίῳ,ἅγιος,G0040,224
112914,1Thessaloniciens,1,5,καὶ,καί,G2532,9108
112915,1Thessaloniciens,1,5,ἐν,ἐν,G1722,2728
112916,1Thessaloniciens,1,5,πληροφορίᾳ,πληροφορία,G4136,4
112917,1Thessaloniciens,1,5,πολλῆ,πολύς,G4183,365
112918,1Thessaloniciens,1,5,καθὼς,καθώς,G2531,182
112919,1Thessaloniciens,1,5,οἴδατε,εἴδω,G6063,280
112920,1Thessaloniciens,1,5,οἷοι,οἷος,G3634,14
112921,1Thessaloniciens,1,5,ἐγενήθημεν,γίνομαι,G1096,662
112922,1Thessaloniciens,1,5,ἐν,ἐν,G1722,2728
112923,1Thessaloniciens,1,5,ὑμῖν,σύ,G4771,2896
112924,1Thessaloniciens,1,5,δι᾽,διά,G1223,666
112925,1Thessaloniciens,1,5,ὑμᾶς,σύ,G4771,2896
112926,1Thessaloniciens,1,6,καὶ,καί,G2532,9108
112927,1Thessaloniciens,1,6,ὑμεῖς,σύ,G4771,2896
112928,1Thessaloniciens,1,6,μιμηταὶ,μιμητής,G3402,6
112929,1Thessaloniciens,1,6,ἡμῶν,ἐγώ,G1473,2462
112930,1Thessaloniciens,1,6,ἐγενήθητε,γίνομαι,G1096,662
112931,1Thessaloniciens,1,6,καὶ,καί,G2532,9108
112932,1Thessaloniciens,1,6,τοῦ,ὁ,G3588,19785
112933,1Thessaloniciens,1,6,κυρίου,κύριος,G2962,716
112934,1Thessaloniciens,1,6,δεξάμενοι,δέχομαι,G1209,56
112935,1Thessaloniciens,1,6,τὸν,ὁ,G3588,19785
112936,1Thessaloniciens,1,6,λόγον,λόγος,G3056,330
112937,1Thessaloniciens,1,6,ἐν,ἐν,G1722,2728
112938,1Thessaloniciens,1,6,θλίψει,θλῖψις,G2347,45
112939,1Thessaloniciens,1,6,πολλῆ,πολύς,G4183,365
112940,1Thessaloniciens,1,6,μετὰ,μετά,G3326,468
112941,1Thessaloniciens,1,6,χαρᾶς,χαρά,G5479,59
112942,1Thessaloniciens,1,6,πνεύματος,πνεῦμα,G4151,378
112943,1Thessaloniciens,1,6,ἁγίου,ἅγιος,G0040,224
112944,1Thessaloniciens,1,7,ὥστε,ὥστε,G5620,83
112945,1Thessaloniciens,1,7,γενέσθαι,γίνομαι,G1096,662
112946,1Thessaloniciens,1,7,ὑμᾶς,σύ,G4771,2896
112947,1Thessaloniciens,1,7,τύπον,τύπος,G5179,16
112948,1Thessaloniciens,1,7,πᾶσιν,πᾶς,G3956,1236
112949,1Thessaloniciens,1,7,τοῖς,ὁ,G3588,19785
112950,1Thessaloniciens,1,7,πιστεύουσιν,πιστεύω,G4100,238
