,bhsa2021_word_n,book,chapter,verse,orig,lex,strong,freq
406861,406862,2 Chroniques,1,2,נָשִׂ֥יא ,נָשִׂיא,H5387,130
406862,406863,2 Chroniques,1,2,לְ,לְ,H9005,20069
406863,406864,2 Chroniques,1,2,כָל־,כֹּל,H3605,5412
406864,406865,2 Chroniques,1,2,יִשְׂרָאֵ֖ל ,יִשְׂרָאֵל,H3478,2506
406865,406866,2 Chroniques,1,2,רָאשֵׁ֥י ,רֹאשׁ,H7218,599
406866,406867,2 Chroniques,1,2,הָ,הַ,H9009,30386
406867,406868,2 Chroniques,1,2,אָבֹֽות׃ ,אָב,H1,1217
406868,406869,2 Chroniques,1,3,וַ,וְ,H9000,50272
406869,406870,2 Chroniques,1,3,יֵּלְכ֗וּ ,הלך,H1980,1547
406870,406871,2 Chroniques,1,3,שְׁלֹמֹה֙ ,שְׁלֹמֹה,H8010,293
406871,406872,2 Chroniques,1,3,וְ,וְ,H9000,50272
406872,406873,2 Chroniques,1,3,כָל־,כֹּל,H3605,5412
406873,406874,2 Chroniques,1,3,הַ,הַ,H9009,30386
406874,406875,2 Chroniques,1,3,קָּהָ֣ל ,קָהָל,H6951,123
406875,406876,2 Chroniques,1,3,עִמֹּ֔ו ,עִם,H5973,1049
406876,406877,2 Chroniques,1,3,לַ,לְ,H9005,20069
406877,406878,2 Chroniques,1,3,,הַ,H9009,30386
406878,406879,2 Chroniques,1,3,בָּמָ֖ה ,בָּמָה,H1116,103
406879,406880,2 Chroniques,1,3,אֲשֶׁ֣ר ,אֲשֶׁר,H834,5500
406880,406881,2 Chroniques,1,3,בְּ,בְּ,H9003,15542
406881,406882,2 Chroniques,1,3,גִבְעֹ֑ון ,גִּבְעֹון,H1391,37
406882,406883,2 Chroniques,1,3,כִּי־,כִּי,H3588,4483
406883,406884,2 Chroniques,1,3,שָׁ֣ם ,שָׁם,H8033,834
406884,406885,2 Chroniques,1,3,הָיָ֗ה ,היה,H1961,3561
406885,406886,2 Chroniques,1,3,אֹ֤הֶל ,אֹהֶל,H168,345
406886,406887,2 Chroniques,1,3,מֹועֵד֙ ,מֹועֵד,H4150,223
406887,406888,2 Chroniques,1,3,הָֽ,הַ,H9009,30386
406888,406889,2 Chroniques,1,3,אֱלֹהִ֔ים ,אֱלֹהִים,H430,2601
406889,406890,2 Chroniques,1,3,אֲשֶׁ֥ר ,אֲשֶׁר,H834,5500
406890,406891,2 Chroniques,1,3,עָשָׂ֛ה ,עשׂה,H6213,2629
406891,406892,2 Chroniques,1,3,מֹשֶׁ֥ה ,מֹשֶׁה,H4872,766
406892,406893,2 Chroniques,1,3,עֶֽבֶד־,עֶבֶד,H5650,800
406893,406894,2 Chroniques,1,3,יְהוָ֖ה ,יְהוָה,H3068,6828
406894,406895,2 Chroniques,1,3,בַּ,בְּ,H9003,15542
406895,406896,2 Chroniques,1,3,,הַ,H9009,30386
406896,406897,2 Chroniques,1,3,מִּדְבָּֽר׃ ,מִדְבָּר,H4057,270
406897,406898,2 Chroniques,1,4,אֲבָ֗ל ,אֲבָל,H61,11
406898,406899,2 Chroniques,1,4,אֲרֹ֤ון ,אֲרֹון,H727,202
406899,406900,2 Chroniques,1,4,הָ,הַ,H9009,30386
406900,406901,2 Chroniques,1,4,אֱלֹהִים֙ ,אֱלֹהִים,H430,2601
406901,406902,2 Chroniques,1,4,הֶעֱלָ֤ה ,עלה,H5927,890
406902,406903,2 Chroniques,1,4,דָוִיד֙ ,דָּוִד,H1732,1075
406903,406904,2 Chroniques,1,4,מִ,מִן,H4480,7562
