w,book,chapter,verse,orig,lex,strong,freq
125709,1Rois,1,7,אַחֲרֵ֖י,אַחַר,H0310,716.0
125710,1Rois,1,7,אֲדֹנִיָּֽה׃,אֲדֹנִיָּ֫הוּ,H0138,26.0
125711,1Rois,1,8,וְצָד֣וֹק,צָדוֹק,H6659,53.0
125712,1Rois,1,8,הַ֠כֹּהֵן,כֹּהֵן,H3548,750.0
125713,1Rois,1,8,וּבְנָיָ֨הוּ,בְּנָיָ֫הוּ,H1141,42.0
125714,1Rois,1,8,בֶן־,בֵּן,H1121,4959.0
125715,1Rois,1,8,יְהוֹיָדָ֜ע,יְהוֹיָדָע,H3077,51.0
125716,1Rois,1,8,וְנָתָ֤ן,נָתָן,H5416,42.0
125717,1Rois,1,8,הַנָּבִיא֙,נָבִיא,H5030,315.0
125718,1Rois,1,8,וְשִׁמְעִ֣י,שִׁמְעִי,H8096,43.0
125719,1Rois,1,8,וְרֵעִ֔י,רֵעִי,H7472,1.0
125720,1Rois,1,8,וְהַגִּבּוֹרִ֖ים,גִּבּוֹר,H1368,159.0
125721,1Rois,1,8,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499.0
125722,1Rois,1,8,לְדָוִ֑ד,דָּוִד,H1732,1075.0
125723,1Rois,1,8,לֹ֥א,לֹא,H3808,5170.0
125724,1Rois,1,8,הָי֖וּ,הָיָה,H1961,3562.0
125725,1Rois,1,8,עִם־,עִם,H5973,1052.0
125726,1Rois,1,8,אֲדֹנִיָּֽהוּ׃,אֲדֹנִיָּ֫הוּ,H0138,26.0
125727,1Rois,1,9,וַיִּזְבַּ֣ח,זָבַח,H2076,134.0
125728,1Rois,1,9,אֲדֹנִיָּ֗הוּ,אֲדֹנִיָּ֫הוּ,H0138,26.0
125729,1Rois,1,9,צֹ֤אן,צֹאן,H6629,274.0
125730,1Rois,1,9,וּבָקָר֙,בָּקָר,H1241,183.0
125731,1Rois,1,9,וּמְרִ֔יא,מְרִיא,H4806,8.0
125732,1Rois,1,9,עִ֚ם,עִם,H5973,1052.0
125733,1Rois,1,9,אֶ֣בֶן,אֶ֫בֶן,H0068,273.0
125734,1Rois,1,9,הַזֹּחֶ֔לֶת,זֹחֶ֫לֶת,H2120,1.0
125735,1Rois,1,9,אֲשֶׁר־,אֲשֶׁר,H0834,5499.0
125736,1Rois,1,9,אֵ֖צֶל,אֵ֫צֶל,H0681,61.0
125737,1Rois,1,9,עֵ֣ין,,H5883,8.0
125738,1Rois,1,9,רֹגֵ֑ל,,H5883,8.0
125739,1Rois,1,9,וַיִּקְרָ֗א,קָרָא,H7121,733.0
125740,1Rois,1,9,אֶת־,אֵת,H0853,10946.0
125741,1Rois,1,9,כָּל־,כֹּל,H3605,5415.0
125742,1Rois,1,9,אֶחָיו֙,אָח,H0251,630.0
125743,1Rois,1,9,בְּנֵ֣י,בֵּן,H1121,4959.0
125744,1Rois,1,9,הַמֶּ֔לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125745,1Rois,1,9,וּלְכָל־,כֹּל,H3605,5415.0
