Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
78261,Josué,1,3,כַּאֲשֶׁ֥ר,כַּאֲשֶׁר,H0834,5499
78262,Josué,1,3,דִּבַּ֖רְתִּי,דָבַר,H1696,1142
78263,Josué,1,3,אֶל־,אֶל,H0413,5515
78264,Josué,1,3,מֹשֶֽׁה׃,מֹשֶׁה,H4872,766
78265,Josué,1,4,מֵהַמִּדְבָּר֩,מִדְבָּר,H4057,271
78266,Josué,1,4,וְהַלְּבָנ֨וֹן,לְבָנוֹן,H3844,71
78267,Josué,1,4,הַזֶּ֜ה,זֶה,H2088,1179
78268,Josué,1,4,וְֽעַד־,עַד,H5704,1261
78269,Josué,1,4,הַנָּהָ֧ר,נָהָר,H5104,119
78270,Josué,1,4,הַגָּד֣וֹל,גָּדוֹל,H1419,526
78271,Josué,1,4,נְהַר־,נָהָר,H5104,119
78272,Josué,1,4,פְּרָ֗ת,פְּרָת,H6578,18
78273,Josué,1,4,כֹּ֚ל,כֹּל,H3605,5415
78274,Josué,1,4,אֶ֣רֶץ,אֶ֫רֶץ,H0776,2504
78275,Josué,1,4,הַֽחִתִּ֔ים,חִתִּי,H2850,48
78276,Josué,1,4,וְעַד־,עַד,H5704,1261
78277,Josué,1,4,הַיָּ֥ם,יָם,H3220,396
78278,Josué,1,4,הַגָּד֖וֹל,גָּדוֹל,H1419,526
78279,Josué,1,4,מְב֣וֹא,מָבוֹא,H3996,22
78280,Josué,1,4,הַשָּׁ֑מֶשׁ,שֶׁ֫מֶשׁ,H8121,134
78281,Josué,1,4,יִֽהְיֶ֖ה,הָיָה,H1961,3562
78282,Josué,1,4,גְּבוּלְכֶֽם׃,גְּבוּל,H1366,240
78283,Josué,1,5,לֹֽא־,לֹא,H3808,5170
78284,Josué,1,5,יִתְיַצֵּ֥ב,יָצַב,H3320,48
78285,Josué,1,5,אִישׁ֙,אִישׁ,H0376,1663
78286,Josué,1,5,לְפָנֶ֔יךָ,פָּנֶה,H6440,2127
78287,Josué,1,5,כֹּ֖ל,כֹּל,H3605,5415
78288,Josué,1,5,יְמֵ֣י,יוֹם,H3117,2306
78289,Josué,1,5,חַיֶּ֑יךָ,חַיִּים,H2416,498
78290,Josué,1,5,כַּֽאֲשֶׁ֨ר,כַּאֲשֶׁר,H0834,5499
78291,Josué,1,5,הָיִ֤יתִי,הָיָה,H1961,3562
78292,Josué,1,5,עִם־,עִם,H5973,1052
78293,Josué,1,5,מֹשֶׁה֙,מֹשֶׁה,H4872,766
78294,Josué,1,5,אֶהְיֶ֣ה,הָיָה,H1961,3562
78295,Josué,1,5,עִמָּ֔ךְ,עִם,H5973,1052
78296,Josué,1,5,לֹ֥א,לֹא,H3808,5170
78297,Josué,1,5,אַרְפְּךָ֖,רָפָה,H7503,46
78298,Josué,1,5,וְלֹ֥א,לֹא,H3808,5170
78299,Josué,1,5,אֶעֶזְבֶֽךָּ׃,עָזַב,H5800,215
78300,Josué,1,6,חֲזַ֖ק,חָזַק,H2388,291
78301,Josué,1,6,וֶאֱמָ֑ץ,אָמֵץ,H0553,41
78302,Josué,1,6,כִּ֣י,כִּי,H3588,4485
78303,Josué,1,6,אַתָּ֗ה,אַתָּ֫ה,H0859,1094
