,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
112988,116955,2 Timothée,1,8,εὐαγγελίῳ,εὐαγγέλιον,G2098,76
112989,116956,2 Timothée,1,8,κατὰ,κατά,G2596,472
112990,116957,2 Timothée,1,8,δύναμιν,δύναμις,G1411,119
112991,116958,2 Timothée,1,8,θεοῦ,θεός,G2316,1311
112992,116959,2 Timothée,1,9,τοῦ,ὁ,G3588,19785
112993,116960,2 Timothée,1,9,σώσαντος,σῴζω,G4982,106
112994,116961,2 Timothée,1,9,ἡμᾶς,ἐγώ,G1473,2462
112995,116962,2 Timothée,1,9,καὶ,καί,G2532,9108
112996,116963,2 Timothée,1,9,καλέσαντος,καλέω,G2564,148
112997,116964,2 Timothée,1,9,κλήσει,κλῆσις,G2821,11
112998,116965,2 Timothée,1,9,ἁγίᾳ,ἅγιος,G0040,224
112999,116966,2 Timothée,1,9,οὐ,οὐ,G3756,1667
113000,116967,2 Timothée,1,9,κατὰ,κατά,G2596,472
113001,116968,2 Timothée,1,9,τὰ,ὁ,G3588,19785
113002,116969,2 Timothée,1,9,ἔργα,ἔργον,G2041,169
113003,116970,2 Timothée,1,9,ἡμῶν,ἐγώ,G1473,2462
113004,116971,2 Timothée,1,9,ἀλλὰ,ἀλλά,G0235,638
113005,116972,2 Timothée,1,9,κατὰ,κατά,G2596,472
113006,116973,2 Timothée,1,9,ἰδίαν,ἴδιος,G2398,113
113007,116974,2 Timothée,1,9,πρόθεσιν,πρόθεσις,G4286,12
113008,116975,2 Timothée,1,9,καὶ,καί,G2532,9108
113009,116976,2 Timothée,1,9,χάριν,χάρις,G5485,154
113010,116977,2 Timothée,1,9,τὴν,ὁ,G3588,19785
113011,116978,2 Timothée,1,9,δοθεῖσαν,δίδωμι,G1325,409
113012,116979,2 Timothée,1,9,ἡμῖν,ἐγώ,G1473,2462
113013,116980,2 Timothée,1,9,ἐν,ἐν,G1722,2728
113014,116981,2 Timothée,1,9,Χριστῷ,Χριστός,G5547,529
113015,116982,2 Timothée,1,9,Ἰησοῦ,Ἰησοῦς,G2424,910
113016,116983,2 Timothée,1,9,πρὸ,πρό,G4253,47
113017,116984,2 Timothée,1,9,χρόνων,χρόνος,G5550,53
113018,116985,2 Timothée,1,9,αἰωνίων,αἰώνιος,G0166,70
